id;ip;Q1;Q2A;Q2B;Q2C;Q2D;Q2E;Q2F;Q3A;Q3B;Q4A;Q4B;Q4C;Q5A;Q5B;Q5C;Q5D;Q5E;Q5F;Q5G;Q5H;Q6A;Q6B;Q7A;Q7B;Q7C;Q7D;Q7E;Q7F;Q7G;Q7H;Q7I;Q8A;Q8B;Q8C;Q8D;Q8E;Q8F;Q8G;Q8H;Q9;Q10;Q11A;Q11B;Q12A;Q12B;Q13A;Q13B;Q14
1095;67.68.135.215;Non;Oui;Oui;Non;Non;Non;;;;;;;;;;;;;;;;;Non;Oui;Non;Non;Non;Non;Non;Non;;Oui;Non;Oui;Non;Non;Non;Non;;Baccalauréat;48;Électrique;;Une femme;;Citoyen canadien;;
1108;10.200.10.131;Non;Oui;Oui;Non;Non;Non;;;;;;;;;;;;;;;;;Oui;Non;Non;Non;Non;Oui;Non;Non;;Non;Non;Non;Oui;Oui;Oui;Non;;Baccalauréat;56;Logiciel;;Un homme;;Citoyen canadien;;non
1110;70.80.180.190;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Oui;Non;Non;Non;Oui;Oui;Non;Non;;Oui;Non;Oui;Non;Oui;Non;Non;;Baccalauréat;109;Électrique;;Un homme;;Citoyen canadien;;
1115;10.200.21.51;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;Non;Non;Non;Non;Non;Oui;;Baccalauréat;62;Informatique;;Un homme;;Citoyen canadien;;
1124;132.207.127.33;Non;Non;Oui;Non;Non;Non;;;;;;;;;;;;;;;;;Oui;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non;Oui;Non;;Baccalauréat;52;Aérospatial;;Un homme;;Citoyen canadien;;
1129;184.151.127.161;Non;Oui;Non;Non;Non;Non;;;;;;;;;;;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;;Non;Oui;Non;Oui;Non;Oui;Non;;Baccalauréat;120;Industriel;;Une femme;;Citoyen canadien;;
1139;50.100.152.65;Peut-être;Non;Non;Non;Non;Oui;;;;Q47;Q42;Q45;3;5;3;2;3;5;5;4;Q61;Q64;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;;Non;Oui;Non;Non;Oui;Non;Non;Page moodle;Baccalauréat;31;Logiciel;;Une femme;;Citoyen canadien;;Je trouve que c'est une bonne idée d'avoir créé ce sondage!
1159;67.68.247.36;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Oui;Oui;Non;Oui;Oui;Non;Non;Non;;Oui;Oui;Non;Non;Non;Non;Non;;Baccalauréat;120;Industriel;;Un homme;;Citoyen canadien;;
1160;10.200.6.101;Non;Non;Oui;Non;Non;Non;;;;;;;;;;;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;;Oui;Oui;Non;Non;Oui;Non;Non;;Baccalauréat;120;Industriel;;Une femme;;Citoyen canadien;;
1170;24.200.133.243;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Oui;Non;Non;Non;Non;Oui;Non;Non;;Non;Non;Non;Non;Non;Non;Oui;;Baccalauréat;102;Informatique;;Un homme;;Citoyen canadien;;
1174;10.200.20.65;Non;Non;Non;Non;Non;Oui;;;;;;;;;;;;;;;;;Oui;Non;Non;Non;Non;Non;Non;Non;;Non;Non;Non;Oui;Oui;Non;Oui;;Baccalauréat;60;Mécanique;;Un homme;;Citoyen canadien;;
1188;10.200.56.33;Non;Oui;Non;Non;Non;Non;;;;;;;;;;;;;;;;;Oui;Non;Non;Non;Non;Non;Non;Non;;Oui;Non;Non;Oui;Oui;Non;Non;;Baccalauréat;29;Électrique;;Une femme;;Citoyen canadien;;
1190;10.200.56.33;Non;Oui;Non;Non;Non;Non;;;;;;;;;;;;;;;;;Oui;Non;Non;Non;Non;Oui;Non;Non;;Oui;Oui;Non;Non;Oui;Non;Non;;Baccalauréat;25;Industriel;;Une femme;;Citoyen canadien;;
1191;10.200.50.132;Non;Non;Oui;Non;Non;Non;;;;;;;;;;;;;;;;;Oui;Non;Oui;Non;Non;Non;Non;Non;;Oui;Non;Non;Non;Oui;Non;Non;;Baccalauréat;28;Électrique;;Une femme;;Citoyen canadien;;
1195;10.200.43.130;Non;Oui;Non;Non;Non;Non;;;;;;;;;;;;;;;;;Oui;Non;Oui;Non;Non;Non;Non;Non;;Oui;Non;Non;Non;Oui;Oui;Non;;Baccalauréat;61;Civil;;Une femme;;Étudiant étranger;;
1207;10.200.31.16;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;Non;Non;Non;Non;Non;Oui;;Baccalauréat;13;Logiciel;;Un homme;;Citoyen canadien;;
1217;10.200.28.74;Non;Non;Oui;Oui;Non;Non;;;;;;;;;;;;;;;;;Oui;Non;Oui;Non;Oui;Oui;Non;Non;;Oui;Non;Non;Oui;Oui;Non;Non;;Baccalauréat;70;Informatique;;Une femme;;Citoyen canadien;;
1232;10.200.56.33;Non;Oui;Non;Non;Non;Non;;;;;;;;;;;;;;;;;Non;Non;Oui;Oui;Non;Oui;Non;Non;;Oui;Non;Non;Non;Oui;Oui;Non;;Baccalauréat;120;Industriel;;Une femme;;Citoyen canadien;;L'idée de l'entreprenariat est vraiment à encourager et promouvoir pour nous étudiants mais aussi futurs ingénieurs
1236;10.200.50.132;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Oui;Non;Non;Non;Non;Oui;Non;Non;;Non;Non;Non;Non;Non;Non;Oui;;Baccalauréat;90;Industriel;;Un homme;;Citoyen canadien;;
1238;10.200.27.117;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Oui;Non;Non;Non;Non;Non;Non;Non;;Oui;Non;Non;Non;Non;Oui;Non;;Baccalauréat;120;Industriel;;Une femme;;Citoyen canadien;;Beau format de sondage et bien fonctionnel.
1242;10.200.27.117;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Oui;Non;Oui;Oui;Non;Non;Non;Non;;Oui;Non;Non;Non;Non;Non;Non;;Baccalauréat;120;Industriel;;Une femme;;Citoyen canadien;;Beau format de sondage et bien fonctionnel.
1243;10.200.59.36;Non;Oui;Oui;Non;Non;Non;;;;;;;;;;;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;;Oui;Non;Non;Oui;Non;Oui;Non;;Baccalauréat;123;Mécanique;;Une femme;;Citoyen canadien;;
1245;10.200.56.33;Oui;Non;Oui;Oui;Non;Non;;;;Q42;Q43;Q41;3;2;1;1;1;2;2;1;Q61;Q64;Oui;Non;Oui;Non;Non;Non;Non;Non;;Oui;Oui;Non;Non;Non;Non;Non;;Baccalauréat;110;Mécanique;;Autre;Non genré;Citoyen canadien;;L'idée de l'entreprenariat est vraiment à encourager et promouvoir pour nous étudiants mais aussi futurs ingénieurs
1249;10.200.50.132;Non;Non;Non;Non;Non;Oui;;;;;;;;;;;;;;;;;Oui;Non;Non;Non;Non;Non;Oui;Non;;Non;Non;Non;Non;Non;Non;Oui;;Baccalauréat;31;Aérospatial;;Une femme;;Citoyen canadien;;
1253;10.200.50.132;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Non;Non;Non;Non;Non;Non;Non;Oui;;Oui;Non;Non;Oui;Non;Non;Non;;Baccalauréat;51;Civil;;Un homme;;Citoyen canadien;;
1255;10.200.56.33;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;;Non;Non;Non;Oui;Oui;Oui;Non;;Baccalauréat;120;Chimique;;Une femme;;Citoyen canadien;;L'idée de l'entreprenariat est vraiment à encourager et promouvoir pour nous étudiants mais aussi futurs ingénieurs
1260;184.162.207.5;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Non;Non;Oui;Non;Non;Non;Non;Non;;Oui;Non;Non;Non;Non;Non;Non;;Baccalauréat;112;Géologique;;Une femme;;Étudiant étranger;;
1263;10.200.59.36;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Non;Non;Oui;Non;Non;Non;Non;Non;;Non;Non;Non;Non;Non;Oui;Non;;Baccalauréat;112;Logiciel;;Un homme;;Citoyen canadien;;
1265;10.200.47.75;Non;Oui;Non;Non;Non;Non;;;;;;;;;;;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;;Oui;Oui;Non;Non;Non;Non;Oui;;Baccalauréat;95;Biomédical;;Un homme;;Citoyen canadien;;
1267;10.200.50.132;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;;Oui;Oui;Non;Non;Non;Non;Non;;Baccalauréat;112;Civil;;Une femme;;Citoyen canadien;;
1274;10.200.56.33;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;Non;Non;Non;Non;Non;Oui;;Baccalauréat;74;Civil;;Un homme;;Citoyen canadien;;Non
1285;10.200.59.36;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Oui;Oui;Non;Non;Non;Non;Non;Non;;Oui;Non;Non;Non;Non;Oui;Non;;Baccalauréat;30;Logiciel;;Une femme;;Citoyen canadien;;
1292;10.200.48.114;Non;Non;Oui;Non;Non;Non;;;;;;;;;;;;;;;;;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;Non;Oui;Oui;Non;Non;Non;;Baccalauréat;30;Biomédical;;Un homme;;Citoyen canadien;;
1314;74.56.69.94;Non;Oui;Oui;Non;Non;Non;;;;;;;;;;;;;;;;;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;;Oui;Oui;Non;Non;Oui;Non;Non;;Baccalauréat;71;Industriel;;Une femme;;Citoyen canadien;;
1318;10.200.2.220;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Oui;Oui;Non;Non;Non;Oui;Non;Non;;Non;Non;Non;Non;Non;Non;Oui;;Baccalauréat;60;Aérospatial;;Une femme;;Citoyen canadien;;
1334;10.200.10.28;Non;Non;Non;Non;Oui;Non;;;;;;;;;;;;;;;;;Oui;Non;Oui;Non;Non;Oui;Non;Non;;Non;Non;Non;Oui;Non;Non;Non;;Baccalauréat;59;Électrique;;Une femme;;Citoyen canadien;;
1339;162.221.125.88;Non;Non;Oui;Oui;Non;Non;;;;;;;;;;;;;;;;;Oui;Non;Non;Non;Non;Oui;Non;Non;;Non;Non;Non;Oui;Oui;Non;Non;;Baccalauréat;28;Logiciel;;Un homme;;Citoyen canadien;;
1342;173.177.138.72;Non;Oui;Non;Non;Non;Non;;;;;;;;;;;;;;;;;Oui;Non;Non;Non;Oui;Oui;Oui;Non;;Oui;Non;Non;Non;Oui;Oui;Non;;Baccalauréat;90;Mécanique;;Un homme;;Citoyen canadien;;
144;170.76.199.36;Oui;Non;Non;Oui;Non;Non;;Q3A4;;Q48;Q47;Q44;5;5;3;3;5;4;4;4;Q63;Q62;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;Oui;Oui;Oui;Non;Non;Non;;Certificat;;Informatique;;Un homme;;Citoyen canadien;;
449;184.151.111.248;Oui;Oui;Oui;Oui;Non;Non;;Q3A4;;Q47;Q48;Q41;3;3;3;2;3;5;5;5;Q64;Q62;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;Non;Non;Oui;Non;Non;Non;;Certificat;;Informatique;;Un homme;;Citoyen canadien;;Na
581;192.222.245.146;Oui;Oui;Non;Non;Non;Non;;Q3A4;;Q43;Q48;Q47;1;1;1;5;5;5;5;5;Q61;Q64;Non;Non;Non;Non;Non;Non;Non;Oui;lol sachant que meme la ruche n'est pas upgradée...;Non;Non;Non;Oui;Non;Non;Non;;Certificat;;Autre;cyberenquetes;Une femme;;Résident permanent;;
622;184.162.248.224;Oui;Non;Non;Non;Oui;Non;;Q3A4;;Q43;Q45;Q44;3;4;4;5;5;5;4;5;Q64;Q61;Non;Non;Non;Non;Non;Oui;Non;Non;;Oui;Non;Non;Non;Non;Non;Non;;Certificat;;Industriel;;Un homme;;Citoyen canadien;;
667;70.83.46.157;Oui;Non;Non;Oui;Non;Non;;Q3A4;;Q41;Q48;Q46;4;4;5;4;5;5;5;5;Q64;Q63;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;Oui;Oui;Oui;Non;Non;Non;;Certificat;;Informatique;;Un homme;;Citoyen canadien;;
679;23.233.209.14;Peut-être;Non;Non;Non;Non;Oui;;Q3A4;;Q48;Q45;Q46;5;;2;3;3;4;5;1;Q63;Q64;Non;Non;Non;Non;Non;Non;Non;Oui;;Oui;Non;Oui;Non;Non;Non;Non;;Certificat;;Informatique;;Un homme;;Résident permanent;;Aucun
700;192.226.250.210;Oui;Non;Non;Oui;Non;Non;;Q3A4;;Q48;Q45;Q41;1;1;1;2;1;2;1;1;Q64;Q63;Non;Non;Non;Non;Non;Non;Non;Oui;;Oui;Non;Oui;Non;Non;Non;Non;;Certificat;;Civil;;Un homme;;Résident permanent;;
757;162.247.168.6;Oui;Oui;Non;Oui;Non;Non;;Q3A4;;Q41;;;5;5;5;5;5;4;4;5;Q61;Q63;Non;Non;Non;Non;Non;Non;Non;Oui;;Oui;Oui;Oui;Non;Non;Non;Non;;Certificat;;Informatique;;Un homme;;Citoyen canadien;;
825;76.65.131.40;Peut-être;Non;Non;Non;Non;Oui;;Q3A4;;Q48;Q45;Q42;3;4;5;;4;3;4;5;Q61;Q64;Non;Non;Non;Non;Non;Oui;Non;Non;;Oui;Non;Oui;Oui;Non;Non;Non;;Certificat;;Mécanique;;Un homme;;Citoyen canadien;;
837;69.70.48.226;Peut-être;Non;Non;Non;Oui;Non;;Q3A4;;Q46;Q48;Q47;4;3;4;3;3;3;4;5;Q61;Q64;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;Non;Oui;Non;Non;Non;Non;;Certificat;;Autre;Incendie;Un homme;;Citoyen canadien;;
874;37.71.237.26;Oui;Oui;Non;Oui;Non;Non;;Q3A4;;Q41;Q42;Q48;5;5;3;4;2;5;5;3;Q62;Q63;Non;Non;Non;Oui;Non;Non;Non;Non;;Non;Non;Non;Non;Non;Non;Non;;Certificat;;Industriel;;Un homme;;Autre;Ancien étudiant en échange;
897;207.253.121.226;Peut-être;Oui;Oui;Oui;Non;Non;;Q3A4;;Q42;Q43;Q48;5;5;5;5;5;5;5;5;Q62;Q64;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;Non;Non;Oui;Non;Non;Non;;Certificat;;Autre;Cybersécurité des réseaux informatiques;Une femme;;Citoyen canadien;;
902;142.169.78.202;Peut-être;Oui;Non;Non;Non;Non;;Q3A4;;Q48;Q41;Q43;5;5;5;5;3;5;5;5;Q64;Q61;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;Non;Oui;Oui;Oui;Non;Non;;Certificat;;Électrique;;Une femme;;Citoyen canadien;;
903;142.243.254.109;Oui;Oui;Non;Non;Non;Non;;Q3A4;;Q45;Q48;Q42;5;5;5;5;5;5;5;;Q64;Q62;Non;Non;Non;Non;Non;Non;Non;Oui;;Oui;Non;Oui;Oui;Non;Non;Non;;Certificat;;Électrique;;Ne souhaite pas répondre;;Citoyen canadien;;
914;66.130.49.254;Oui;Non;Oui;Non;Non;Non;;Q3A4;;Q48;Q45;Q41;3;3;5;2;5;4;4;5;Q63;Q64;Non;Non;Non;Non;Non;Non;Non;Oui;;Oui;Oui;Non;Oui;Non;Non;Non;;Certificat;;Informatique;;Un homme;;Citoyen canadien;;Merci de prendre le temps de faire ce genre de sondage, cela démontre votre intérêt pour aider les étudiants qui souhaitent un jour devenir entrepreneurs!
998;142.122.49.206;Oui;Non;Non;Non;Oui;Non;;Q3A4;;Q41;Q45;Q48;4;4;5;;5;5;4;4;Q64;Q63;Non;Non;Non;Non;Non;Non;Non;Oui;;Oui;Oui;Non;Oui;Non;Non;Non;;Certificat;;Mécanique;;Un homme;;Résident permanent;;
1030;70.82.96.9;Oui;Non;Non;Non;Oui;Non;;Q3A4;;Q47;Q43;Q41;3;3;3;3;3;3;5;5;Q64;Q63;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;Non;Non;Non;Non;Non;Oui;;Certificat;;Mécanique;;Une femme;;Citoyen canadien;;
1338;107.171.186.12;Oui;Oui;Non;Oui;Non;Non;;Q3A4;;Q48;Q43;Q41;;;;;;;;;Q63;Q64;Non;Non;Non;Non;Non;Non;Non;Oui;;Oui;Oui;Non;Non;Oui;Non;Non;;Certificat;;Autre;cyber enquête;Une femme;;Résident permanent;;
1348;24.114.85.139;Peut-être;Non;Non;Oui;Non;Non;;Q3A4;;Q43;Q46;Q45;3;3;2;4;5;5;4;4;Q64;Q62;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;Non;Oui;Oui;Non;Non;Non;;Certificat;;Informatique;;Un homme;;Résident permanent;;
1010;70.80.120.227;Oui;Oui;Non;Oui;Non;Non;;Q3A5;depand mon cheminement à l'université;Q45;Q48;Q46;5;4;5;5;5;5;5;5;Q62;Q64;Non;Non;Non;Non;Non;Non;Non;Oui;;Oui;Non;Oui;Oui;Non;Non;Non;;Certificat;;Autre;programation industriel;Un homme;;Citoyen canadien;;Merci  est interessant
506;184.151.111.91;Oui;Non;Non;Oui;Non;Non;;Q3A1;;;;;;1;1;1;;1;1;;;;Non;Non;Non;Non;Non;Non;Non;Oui;;Oui;Non;Non;Non;Non;Non;Non;;Certificat;;Informatique;;Un homme;;Citoyen canadien;;
834;184.151.127.176;Oui;Oui;Non;Non;Non;Non;;Q3A1;;Q48;Q47;Q43;1;1;3;2;1;2;1;3;Q61;Q64;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;Non;Non;Oui;Non;Non;Non;;Certificat;;Autre;Cybercriminalité;Un homme;;Citoyen canadien;;Non
971;76.65.87.13;Oui;Oui;Non;Oui;Non;Non;;Q3A1;;Q42;Q41;Q48;3;3;4;5;5;3;3;4;Q62;Q63;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;Non;Oui;Oui;Non;Non;Non;;Certificat;;Informatique;;Un homme;;Citoyen canadien;;
1023;50.100.168.118;Oui;Oui;Non;Non;Non;Non;;Q3A1;;Q47;Q44;Q42;3;4;5;4;4;5;5;4;Q64;Q61;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;Non;Oui;Oui;Non;Non;Non;;Certificat;;Électrique;;Une femme;;Citoyen canadien;;
1028;173.211.120.2;Oui;Oui;Oui;Oui;Non;Non;;Q3A1;;Q42;Q41;Q45;5;5;5;5;5;4;4;4;Q62;Q64;Non;Non;Non;Non;Non;Non;Non;Oui;;Oui;Oui;Non;Oui;Non;Non;Non;;Certificat;;Informatique;;Un homme;;Résident permanent;;N/A
1369;69.159.108.143;Oui;Non;Non;Non;Oui;Non;;Q3A1;;Q48;Q47;Q42;3;1;2;1;5;5;5;5;Q63;Q64;Non;Non;Non;Non;Non;Non;Non;Oui;;Oui;Non;Oui;Oui;Non;Non;Non;;Certificat;;Autre;Cyber enquête;Une femme;;Citoyen canadien;;
671;69.159.124.166;Oui;Non;Non;Oui;Non;Non;;Q3A3;;Q41;Q44;Q47;3;4;1;2;5;4;5;5;Q62;Q63;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;Non;Non;Oui;Non;Non;Non;;Certificat;;Informatique;;Un homme;;Citoyen canadien;;
832;206.167.196.2;Oui;Oui;Oui;Oui;Non;Non;;Q3A3;;Q47;Q42;Q44;4;3;4;4;4;4;5;4;Q61;Q62;Non;Non;Non;Non;Non;Non;Non;Oui;;Oui;Non;Non;Oui;Non;Non;Non;;Certificat;;Informatique;;Une femme;;Citoyen canadien;;
1004;132.207.83.39;Oui;Oui;Non;Non;Non;Non;;Q3A3;;Q46;Q43;Q41;5;5;5;5;5;5;5;5;Q64;Q62;Non;Non;Non;Non;Non;Non;Non;Oui;;Oui;Non;Non;Non;Non;Non;Non;;Certificat;;Autre;cybersécurité des réseaux informatiques;Un homme;;Résident permanent;;Non
1042;135.19.145.157;Oui;Non;Oui;Non;Non;Non;;Q3A3;;Q42;Q41;Q44;5;5;5;4;4;5;5;5;Q62;Q61;Non;Non;Non;Non;Non;Non;Non;Oui;;Oui;Oui;Oui;Non;Non;Non;Non;;Certificat;;Électrique;;Une femme;;Résident permanent;;
1308;69.157.149.168;Oui;Oui;Non;Non;Non;Non;;Q3A3;;Q44;Q43;Q41;5;4;5;4;4;4;5;5;Q62;Q63;Non;Oui;Oui;Non;Non;Non;Non;Non;;Oui;Non;Non;Oui;Non;Non;Non;;Certificat;;Informatique;;Un homme;;Citoyen canadien;;
